날짜,기온,강수량
2023-07-09,24.7,0.0
2023-07-10,26.2,47.5
2023-07-11,23.7,11.5
2023-07-12,25.4,58.3
2023-07-13,25.3,0.7
2023-07-14,24.6,91.6
2023-07-15,24.5,72.7
2023-07-16,24.5,2.3
2023-07-17,25.4,9.7
2023-07-18,25.2,1.4
2023-07-19,26.9,2.3
2023-07-20,27.7,0.0
2023-07-21,29.2,0.0
2023-07-22,28.4,0.0
2023-07-23,25.2,12.3
2023-07-24,26.7,40.2
2023-07-25,27.6,0.4
2023-07-26,27.5,5.6
2023-07-27,28.2,1.0
2023-07-28,29.3,0.0
2023-07-29,29.0,0.0
2023-07-30,28.6,0.0
2023-07-31,28.3,25.0
2023-08-01,29.7,0.3
2023-08-02,29.6,0.0
2023-08-03,29.3,0.0
2023-08-04,29.8,0.0
2023-08-05,30.0,0.0
2023-08-06,29.7,0.0
2023-08-07,30.3,4.9
2023-08-08,30.8,0.0
2023-08-09,28.6,0.0
2023-08-10,22.5,0.2
2023-08-11,23.3,86.1
2023-08-12,23.4,46.7
2023-08-13,26.5,1.5
2023-08-14,28.0,0.0
2023-08-15,28.4,0.0
2023-08-16,27.4,0.0
2023-08-17,27.9,0.3
2023-08-18,28.9,0.0
2023-08-19,28.9,0.1
2023-08-20,28.1,0.0
2023-08-21,29.3,0.0
2023-08-22,28.7,0.0
2023-08-23,25.0,42.6
2023-08-24,24.9,41.8
2023-08-25,26.4,5.2
2023-08-26,26.3,0.0
2023-08-27,26.0,0.0
2023-08-28,23.0,0.0
2023-08-29,23.9,10.4
2023-08-30,22.8,54.8
2023-08-31,23.7,3.5
2023-09-01,24.3,0.0
2023-09-02,25.1,0.0
2023-09-03,25.6,0.0
2023-09-04,26.9,0.1
2023-09-05,28.3,0.3
2023-09-06,27.8,0.0
2023-09-07,26.3,0.0
2023-09-08,25.2,0.0
2023-09-09,25.6,0.0
2023-09-10,25.6,0.0
2023-09-11,25.4,0.0
2023-09-12,25.5,0.0
2023-09-13,22.4,0.0
2023-09-14,23.0,15.9
2023-09-15,22.4,0.0
2023-09-16,23.8,2.1
2023-09-17,24.5,38.7
2023-09-18,24.7,3.0
2023-09-19,23.9,0.0
2023-09-20,21.0,0.0
2023-09-21,20.0,35.8
2023-09-22,20.2,0.0
2023-09-23,21.6,0.0
2023-09-24,21.6,0.0
2023-09-25,21.5,0.0
2023-09-26,19.9,1.9
2023-09-27,21.4,27.8
2023-09-28,22.5,4.4
2023-09-29,21.1,0.0
2023-09-30,19.8,0.0
2023-10-01,18.3,4.5
2023-10-02,18.1,0.0
2023-10-03,17.3,0.0
2023-10-04,17.3,0.0
2023-10-05,14.2,14.7
2023-10-06,15.3,0.0
2023-10-07,16.6,0.0
2023-10-08,17.1,0.0
2023-10-09,17.4,0.0
2023-10-10,16.8,1.2
2023-10-11,17.4,0.0
2023-10-12,17.3,0.0
2023-10-13,17.4,0.0
2023-10-14,15.5,0.0
